"mukey" "cokey" "Loc" "Lat" "Lon" "dist" "centX" "centY" "cont" "awc" "mdep" "hrb" "elev" "corn_yield" "corn_yield_high" "comppct" "New_Lat_ROW_Index_NARR" "New_Lat_COL_Index_NARR" "New_Lon_ROW_Index_NARR" "New_Lon_COL_Index_NARR" "New_Loc"
660810 956247.76923077 353 39.9273605347 -123.072998047 0 -123.094061598 39.9268693048 1 0.0778925009578889 55 1.5 1502.15384615385 NA NA 36 132 113 132 113 11432
660827 956540 354 40.208530426 -123.153396606 0 -123.645376121 41.0725690271 1 0.1571875 77 3 778 NA NA 14 132 114 132 114 11532
660827 956539 354 40.208530426 -123.153396606 0 -123.645376121 41.0725690271 1 0.07 77 3 1296 NA NA 9 132 114 132 114 11532
660827 956550 354 40.208530426 -123.153396606 0 -123.645376121 41.0725690271 1 0.11532403269947 111.716666666667 2.05263157894737 841.176470588235 NA NA 77 132 114 132 114 11532
660615 953440 355 40.4898490906 -123.234596252 0 -123.258424897 40.5082926636 1 0.0758552631579 127 1 1220 NA NA 20 132 115 132 115 11632
660615 953439 355 40.4898490906 -123.234596252 0 -123.258424897 40.5082926636 1 0.0789887640449 77 3 1296 NA NA 15 132 115 132 115 11632
660615 953448.894736842 355 40.4898490906 -123.234596252 0 -123.258424897 40.5082926636 1 0.0822156050307603 64.7460317460317 2.3125 1005.2 NA NA 65 132 115 132 115 11632
660615 953440 356 40.7713088989 -123.316596985 0 -123.234706319 40.8339086301 1 0.0758552631579 127 1 1220 NA NA 20 132 116 132 116 11732
660615 953439 356 40.7713088989 -123.316596985 0 -123.234706319 40.8339086301 1 0.0789887640449 77 3 1296 NA NA 15 132 116 132 116 11732
660615 953448.894736842 356 40.7713088989 -123.316596985 0 -123.234706319 40.8339086301 1 0.0822156050307603 64.7460317460317 2.3125 1005.2 NA NA 65 132 116 132 116 11732
660615 953440 357 41.0529098511 -123.399398804 0 -123.234706319 40.8339086301 1 0.0758552631579 127 1 1220 NA NA 20 132 117 132 117 11832
660615 953439 357 41.0529098511 -123.399398804 0 -123.234706319 40.8339086301 1 0.0789887640449 77 3 1296 NA NA 15 132 117 132 117 11832
660615 953448.894736842 357 41.0529098511 -123.399398804 0 -123.234706319 40.8339086301 1 0.0822156050307603 64.7460317460317 2.3125 1005.2 NA NA 65 132 117 132 117 11832
660825 956518 358 41.3346405029 -123.483001709 0 -123.479034999 41.3216317815 1 NA 0 0 NA NA NA 16 132 118 132 118 11932
660825 956503 358 41.3346405029 -123.483001709 0 -123.479034999 41.3216317815 1 0.04 38 1 1372 NA NA 12 132 118 132 118 11932
660825 956511.611111111 358 41.3346405029 -123.483001709 0 -123.479034999 41.3216317815 1 0.0844352543016203 60.5774647887324 1.5625 945.3125 NA NA 72 132 118 132 118 11932
660612 953387 359 41.6164894104 -123.567497253 0 -123.570017349 41.6635099259 1 0.08 127 NA 1890 NA NA 19 132 119 132 119 12032
660612 953386 359 41.6164894104 -123.567497253 0 -123.570017349 41.6635099259 1 0.09 77 3 1174 NA NA 15 132 119 132 119 12032
660612 953395.388888889 359 41.6164894104 -123.567497253 0 -123.570017349 41.6635099259 1 0.101009807029369 77.3538461538462 2.2 992 NA NA 66 132 119 132 119 12032
660613 953405 360 41.8984718323 -123.652900696 0 -123.612076291 41.8987906238 1 0.08 77 NA 2134 NA NA 40 132 120 132 120 12132
660613 953406 360 41.8984718323 -123.652900696 0 -123.612076291 41.8987906238 1 0.05 38 NA 1601 NA NA 35 132 120 132 120 12132
660613 953413.5 360 41.8984718323 -123.652900696 0 -123.612076291 41.8987906238 1 0.0721946456736182 45.4210526315789 1.8 1584.15384615385 NA NA 25 132 120 132 120 12132
660826 956522 361 42.1805496216 -123.739097595 0 -123.88999911 41.8704109752 1 0.123164556962 77 2 610 NA NA 16 132 121 132 121 12232
660826 956525 361 42.1805496216 -123.739097595 0 -123.88999911 41.8704109752 1 0.115 38 1 747 NA NA 14 132 121 132 121 12232
660826 956530.866666667 361 42.1805496216 -123.739097595 0 -123.88999911 41.8704109752 1 0.112810935658362 68.3809523809524 1 871.214285714286 NA NA 70 132 121 132 121 12232
666906 988883 362 42.4627304077 -123.826202393 0 -123.769862577 42.4512721381 1 0.09015625 77 3 671 NA NA 12 132 122 132 122 12332
666906 988884 362 42.4627304077 -123.826202393 0 -123.769862577 42.4512721381 1 0.09015625 77 3 671 NA NA 10 132 122 132 122 12332
666906 988894 362 42.4627304077 -123.826202393 0 -123.769862577 42.4512721381 1 0.122501669645568 83.8666666666667 2.89473684210526 740.42105263158 NA NA 78 132 122 132 122 12332
666906 988883 363 42.745010376 -123.914199829 0 -123.769862577 42.4512721381 1 0.09015625 77 3 671 NA NA 12 132 123 132 123 12432
666906 988884 363 42.745010376 -123.914199829 0 -123.769862577 42.4512721381 1 0.09015625 77 3 671 NA NA 10 132 123 132 123 12432
666906 988894 363 42.745010376 -123.914199829 0 -123.769862577 42.4512721381 1 0.122501669645568 83.8666666666667 2.89473684210526 740.42105263158 NA NA 78 132 123 132 123 12432
666941 989397 364 43.027381897 -124.003097534 0 -123.782178968 43.7397823436 1 0.147540983607 77 3 617 NA NA 22 132 124 132 124 12532
666941 989411 364 43.027381897 -124.003097534 0 -123.782178968 43.7397823436 1 0.147540983607 77 3 617 NA NA 11 132 124 132 124 12532
666941 989404 364 43.027381897 -124.003097534 0 -123.782178968 43.7397823436 1 0.146252165554159 78.3428571428571 2.15789473684211 460.722222222222 NA NA 67 132 124 132 124 12532
666941 989397 365 43.3098297119 -124.092903137 0 -123.782178968 43.7397823436 1 0.147540983607 77 3 617 NA NA 22 132 125 132 125 12632
666941 989411 365 43.3098297119 -124.092903137 0 -123.782178968 43.7397823436 1 0.147540983607 77 3 617 NA NA 11 132 125 132 125 12632
666941 989404 365 43.3098297119 -124.092903137 0 -123.782178968 43.7397823436 1 0.146252165554159 78.3428571428571 2.15789473684211 460.722222222222 NA NA 67 132 125 132 125 12632
661052 959790 440 36.3452415466 -121.749397278 0 -121.627630732 36.2860363571 1 0.09 31 1 686 NA NA 26 133 100 133 100 10133
661052 959794 440 36.3452415466 -121.749397278 0 -121.627630732 36.2860363571 1 0.11 87 2 884 NA NA 16 133 100 133 100 10133
661052 959795.545454545 440 36.3452415466 -121.749397278 0 -121.627630732 36.2860363571 1 0.09589481303068 52.5087719298246 2.3 782.3 NA NA 58 133 100 133 100 10133
661045 959689 441 36.6241798401 -121.818901062 0 -121.80384889 36.6489942183 1 0.07 NA 3 122 NA NA 33 133 101 133 101 10233
661045 959699 441 36.6241798401 -121.818901062 0 -121.80384889 36.6489942183 1 0.0939325842697 NA 3 198 NA NA 14 133 101 133 101 10233
661045 959692.25 441 36.6241798401 -121.818901062 0 -121.80384889 36.6489942183 1 0.115707460903118 0 2.90909090909091 341.909090909091 NA NA 53 133 101 133 101 10233
661073 960131 443 37.1827507019 -121.95980072 0 -121.779520132 37.1156475443 1 0.14 38 2 625 NA NA 15 133 103 133 103 10433
661073 960136 443 37.1827507019 -121.95980072 0 -121.779520132 37.1156475443 1 0.137252747253 77 3 701 NA NA 15 133 103 133 103 10433
661073 960141.789473684 443 37.1827507019 -121.95980072 0 -121.779520132 37.1156475443 1 0.13662779965454 46.6984126984127 2.05882352941176 585.5 NA NA 70 133 103 133 103 10433
660761 955431 444 37.4623794556 -122.031303406 0.00120073969249 -122.046317318 37.4945551068 1 0.0535 NA 2 2 NA NA 23 133 104 133 104 10533
660761 955427 444 37.4623794556 -122.031303406 0.00120073969249 -122.046317318 37.4945551068 1 0.05 NA NA 2 NA NA 21 133 104 133 104 10533
660761 955434.76923077 444 37.4623794556 -122.031303406 0.00120073969249 -122.046317318 37.4945551068 1 0.0604162034187636 25 1.875 119.6 NA NA 56 133 104 133 104 10533
660787 955878 445 37.7422294617 -122.103401184 0 -122.060380642 37.7571792771 1 0.172682926829 38 3 610 NA NA 18 133 105 133 105 10633
660787 955875 445 37.7422294617 -122.103401184 0 -122.060380642 37.7571792771 1 0.11 38 1 762 NA NA 9 133 105 133 105 10633
660787 955882.578947368 445 37.7422294617 -122.103401184 0 -122.060380642 37.7571792771 1 0.151513584190006 63.0882352941176 2.16666666666667 586.1875 NA NA 73 133 105 133 105 10633
660787 955878 446 38.0222816467 -122.176200867 0 -122.060380642 37.7571792771 1 0.172682926829 38 3 610 NA NA 18 133 106 133 106 10733
660787 955875 446 38.0222816467 -122.176200867 0 -122.060380642 37.7571792771 1 0.11 38 1 762 NA NA 9 133 106 133 106 10733
660787 955882.578947368 446 38.0222816467 -122.176200867 0 -122.060380642 37.7571792771 1 0.151513584190006 63.0882352941176 2.16666666666667 586.1875 NA NA 73 133 106 133 106 10733
660788 955896 447 38.3025283813 -122.249702454 0 -122.332310598 38.4366066041 1 NA 0 0 NA NA NA 51 133 107 133 107 10833
660788 955894 447 38.3025283813 -122.249702454 0 -122.332310598 38.4366066041 1 0.0856097560976 38 2 488 NA NA 21 133 107 133 107 10833
660788 955899.727272727 447 38.3025283813 -122.249702454 0 -122.332310598 38.4366066041 1 0.138458816588954 77.4642857142857 2.36363636363636 660.1 NA NA 28 133 107 133 107 10833
660786 955869 448 38.582988739 -122.323997498 0 -122.362400673 38.6252685548 1 0.0897916666667 38 1 686 NA NA 44 133 108 133 108 10933
660786 955857 448 38.582988739 -122.323997498 0 -122.362400673 38.6252685548 1 0.0897916666667 38 1 686 NA NA 17 133 108 133 108 10933
660786 955863.571428571 448 38.582988739 -122.323997498 0 -122.362400673 38.6252685548 1 0.150543216539026 38.9736842105263 1.57142857142857 574.7 NA NA 39 133 108 133 108 10933
660817 956377 449 38.8636398315 -122.398902893 0 -122.409707546 38.8539755495 1 0.105853658537 38 NA 1067 NA NA 32 133 109 133 109 11033
660817 956380 449 38.8636398315 -122.398902893 0 -122.409707546 38.8539755495 1 0.125909090909 77 1 808 NA NA 22 133 109 133 109 11033
660817 956387.894736842 449 38.8636398315 -122.398902893 0 -122.409707546 38.8539755495 1 0.103946886546429 53.5813953488372 1.27777777777778 786.941176470588 NA NA 46 133 109 133 109 11033
660817 956377 450 39.1444816589 -122.474601746 0 -122.486239609 39.136714412 1 0.105853658537 38 NA 1067 NA NA 32 133 110 133 110 11133
660817 956380 450 39.1444816589 -122.474601746 0 -122.486239609 39.136714412 1 0.125909090909 77 1 808 NA NA 22 133 110 133 110 11133
660817 956387.894736842 450 39.1444816589 -122.474601746 0 -122.486239609 39.136714412 1 0.103946886546429 53.5813953488372 1.27777777777778 786.941176470588 NA NA 46 133 110 133 110 11133
660721 954878 451 39.425491333 -122.551002502 0 -122.583695494 39.4914576395 1 0.0897916666667 38 1 686 NA NA 32 133 111 133 111 11233
660721 954872 451 39.425491333 -122.551002502 0 -122.583695494 39.4914576395 1 0.106842105263 38 1 762 NA NA 18 133 111 133 111 11233
660721 954873.285714286 451 39.425491333 -122.551002502 0 -122.583695494 39.4914576395 1 0.130865353098581 38.6170212765957 2.41666666666667 787.5 NA NA 50 133 111 133 111 11233
660720 954857 452 39.7066802979 -122.628097534 0 -122.716255762 39.7364906992 1 0.0833333333333 23 2 1067 NA NA 34 133 112 133 112 11333
660720 954858 452 39.7066802979 -122.628097534 0 -122.716255762 39.7364906992 1 0.123181818182 77 3 793 NA NA 22 133 112 133 112 11333
660720 954862 452 39.7066802979 -122.628097534 0 -122.716255762 39.7364906992 1 0.122955665024773 56.6136363636364 2.33333333333333 866.571428571429 NA NA 44 133 112 133 112 11333
660719 954854 453 39.98802948 -122.706001282 0 -122.800807202 39.8080514631 1 0.0824324324324 77 2 1204 NA NA 42 133 113 133 113 11433
